Age,Travel Style,Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
26.0,couples,1387.0,Waterfalls,Beaches,Train Rides,Fall,Train,High,Guesthouse,Budget Travelers
64.0,solo,2693.0,Wildlife Safaris,Beaches,Train Rides,Summer,Bike,Low,Motel,Budget Travelers
31.0,solo,1905.0,Camping,Local Food,Hill Country,Summer,Bike,High,Camping,Budget Travelers
41.0,solo,1764.0,Waterfalls,Beaches,Train Rides,Winter,Train,Medium,Guesthouse,Budget Travelers
58.0,group,2726.0,Camping,Beaches,Local Food,Fall,Public-Bus,Low,Camping,Budget Travelers
30.0,solo,1852.0,Local Food,Waterfalls,Beaches,Fall,Public-Bus,High,Hostel,Budget Travelers
21.0,solo,1556.0,Camping,Local Food,Hill Country,Winter,Train,High,Motel,Budget Travelers
31.0,solo,2227.0,Waterfalls,Hill Country,Wildlife Safaris,Summer,Tuk-tuk,High,Camping,Budget Travelers
18.0,solo,1253.0,Wildlife Safaris,Hill Country,Local Food,Fall,Public-Bus,High,Camping,Budget Travelers
40.0,solo,1751.0,Camping,Beaches,Hill Country,Summer,Train,Medium,Guesthouse,Budget Travelers
44.0,solo,1861.0,Camping,Wildlife Safaris,Local Food,Spring,Train,Medium,Motel,Budget Travelers
36.0,couples,1913.0,Beaches,Wildlife Safaris,Waterfalls,Fall,PickMe,Medium,Motel,Budget Travelers
45.0,couples,2406.0,Beaches,Waterfalls,Hill Country,Fall,Car,Medium,Motel,Budget Travelers
33.0,solo,1616.0,Hill Country,Camping,Local Food,Summer,Public-Bus,High,Motel,Budget Travelers
34.0,solo,1971.0,Local Food,Hill Country,Beaches,Fall,Bike,High,Guesthouse,Budget Travelers
56.0,group,2165.0,Hill Country,Waterfalls,Train Rides,Fall,Public-Bus,Low,Motel,Budget Travelers
44.0,solo,1567.0,Beaches,Waterfalls,Hill Country,Fall,Train,Medium,Camping,Budget Travelers
40.0,solo,2081.0,Beaches,Wildlife Safaris,Local Food,Summer,Bike,Medium,Motel,Budget Travelers
39.0,solo,1823.0,Local Food,Waterfalls,Camping,Summer,Train,Medium,Motel,Budget Travelers
47.0,couples,1920.0,Waterfalls,Wildlife Safaris,Camping,Summer,Bike,Medium,Guesthouse,Budget Travelers
55.0,couples,2537.0,Camping,Train Rides,Hill Country,Summer,PickMe,Low,Motel,Budget Travelers
25.0,solo,1274.0,Beaches,Hill Country,Wildlife Safaris,Fall,Tuk-tuk,High,Guesthouse,Budget Travelers
19.0,solo,1295.0,Wildlife Safaris,Camping,Hill Country,Summer,Train,High,Camping,Budget Travelers
51.0,solo,2563.0,Hill Country,Beaches,Waterfalls,Fall,Public-Bus,Low,Hostel,Budget Travelers
27.0,solo,1556.0,Train Rides,Camping,Wildlife Safaris,Spring,Public-Bus,High,Hostel,Budget Travelers
51.0,solo,2505.0,Wildlife Safaris,Hill Country,Camping,Summer,Public-Bus,Low,Motel,Budget Travelers
69.0,solo,2272.0,Wildlife Safaris,Waterfalls,Camping,Summer,Train,Low,Motel,Budget Travelers
60.0,group,2259.0,Local Food,Train Rides,Hill Country,Fall,Public-Bus,Low,Hostel,Budget Travelers
24.0,solo,1978.0,Hill Country,Wildlife Safaris,Beaches,Summer,Tuk-tuk,High,Guesthouse,Budget Travelers
41.0,solo,2076.0,Camping,Beaches,Wildlife Safaris,Summer,Train,Medium,Hostel,Budget Travelers
31.0,solo,1655.0,Wildlife Safaris,Camping,Local Food,Fall,Train,High,Camping,Budget Travelers
26.0,solo,1683.0,Train Rides,Beaches,Local Food,Fall,Train,High,Guesthouse,Budget Travelers
20.0,solo,1315.0,Hill Country,Train Rides,Local Food,Fall,Train,High,Motel,Budget Travelers
48.0,solo,2399.0,Camping,Local Food,Train Rides,Fall,Tuk-tuk,Medium,Hostel,Budget Travelers
23.0,solo,1453.0,Beaches,Local Food,Wildlife Safaris,Summer,Train,High,Motel,Budget Travelers
24.0,solo,1826.0,Beaches,Local Food,Hill Country,Fall,Tuk-tuk,High,Guesthouse,Budget Travelers
40.0,solo,2221.0,Train Rides,Wildlife Safaris,Beaches,Fall,Train,Medium,Hostel,Budget Travelers
21.0,solo,1974.0,Train Rides,Hill Country,Camping,Summer,Bike,High,Camping,Budget Travelers
51.0,solo,2897.0,Hill Country,Local Food,Beaches,Summer,Tuk-tuk,Low,Camping,Budget Travelers
47.0,couples,2026.0,Wildlife Safaris,Waterfalls,Train Rides,Summer,Car,Medium,Guesthouse,Budget Travelers
37.0,couples,1731.0,Hill Country,Beaches,Local Food,Summer,PickMe,Medium,Hostel,Budget Travelers
18.0,solo,1766.0,Hill Country,Waterfalls,Camping,Spring,Train,High,Motel,Budget Travelers
28.0,solo,1729.0,Local Food,Camping,Beaches,Fall,Tuk-tuk,High,Camping,Budget Travelers
18.0,couples,1205.0,Waterfalls,Wildlife Safaris,Local Food,Fall,Public-Bus,High,Guesthouse,Budget Travelers
38.0,solo,2197.0,Waterfalls,Wildlife Safaris,Local Food,Spring,Train,Medium,Motel,Budget Travelers
38.0,solo,1804.0,Wildlife Safaris,Local Food,Hill Country,Fall,Public-Bus,Medium,Guesthouse,Budget Travelers
53.0,solo,2395.0,Waterfalls,Beaches,Wildlife Safaris,Spring,Train,Low,Guesthouse,Budget Travelers
34.0,solo,2155.0,Train Rides,Local Food,Waterfalls,Fall,Train,High,Guesthouse,Budget Travelers
32.0,solo,2369.0,Camping,Wildlife Safaris,Waterfalls,Fall,Bike,High,Guesthouse,Budget Travelers
28.0,solo,1383.0,Train Rides,Waterfalls,Hill Country,Fall,Tuk-tuk,High,Camping,Budget Travelers
34.0,solo,2463.0,Local Food,Wildlife Safaris,Beaches,Summer,Train,High,Camping,Budget Travelers
51.0,solo,2267.0,Wildlife Safaris,Camping,Hill Country,Summer,Tuk-tuk,Low,Hostel,Budget Travelers
20.0,solo,1734.0,Wildlife Safaris,Beaches,Train Rides,Summer,Train,High,Camping,Budget Travelers
43.0,couples,1964.0,Local Food,Waterfalls,Wildlife Safaris,Fall,PickMe,Medium,Motel,Budget Travelers
46.0,couples,2415.0,Camping,Local Food,Hill Country,Summer,Train,Medium,Guesthouse,Budget Travelers
54.0,solo,2384.0,Train Rides,Wildlife Safaris,Beaches,Summer,Tuk-tuk,Low,Motel,Budget Travelers
50.0,solo,1882.0,Camping,Beaches,Wildlife Safaris,Summer,Public-Bus,Medium,Hostel,Budget Travelers
31.0,solo,1821.0,Train Rides,Local Food,Wildlife Safaris,Fall,Bike,High,Motel,Budget Travelers
40.0,couples,1785.0,Waterfalls,Local Food,Beaches,Summer,Bike,Medium,Motel,Budget Travelers
41.0,couples,2391.0,Camping,Hill Country,Beaches,Summer,Public-Bus,Medium,Motel,Budget Travelers
46.0,solo,1503.0,Hill Country,Local Food,Wildlife Safaris,Fall,Bike,Medium,Hostel,Budget Travelers
35.0,solo,1595.0,Camping,Waterfalls,Beaches,Summer,Public-Bus,High,Guesthouse,Budget Travelers
29.0,couples,1677.0,Camping,Local Food,Waterfalls,Fall,PickMe,High,Guesthouse,Budget Travelers
37.0,solo,1577.0,Waterfalls,Beaches,Train Rides,Summer,Bike,Medium,Motel,Budget Travelers
47.0,solo,2382.0,Beaches,Hill Country,Local Food,Fall,Public-Bus,Medium,Motel,Budget Travelers
23.0,couples,1785.0,Waterfalls,Local Food,Camping,Summer,Train,High,Motel,Budget Travelers
24.0,solo,1253.0,Beaches,Train Rides,Waterfalls,Fall,Train,High,Guesthouse,Budget Travelers
52.0,solo,2249.0,Train Rides,Waterfalls,Camping,Summer,Bike,Low,Hostel,Budget Travelers
66.0,solo,2026.0,Local Food,Camping,Waterfalls,Summer,Bike,Low,Hostel,Budget Travelers
31.0,solo,1742.0,Hill Country,Train Rides,Waterfalls,Fall,Tuk-tuk,High,Motel,Budget Travelers
28.0,couples,1445.0,Hill Country,Local Food,Wildlife Safaris,Summer,Car,High,Guesthouse,Budget Travelers
44.0,solo,1914.0,Waterfalls,Beaches,Wildlife Safaris,Summer,Public-Bus,Medium,Motel,Budget Travelers
46.0,solo,1850.0,Camping,Hill Country,Train Rides,Summer,Public-Bus,Medium,Motel,Budget Travelers
19.0,solo,1300.0,Camping,Wildlife Safaris,Hill Country,Summer,Tuk-tuk,High,Guesthouse,Budget Travelers
59.0,group,2207.0,Train Rides,Waterfalls,Wildlife Safaris,Winter,Train,Low,Camping,Budget Travelers
64.0,group,2377.0,Wildlife Safaris,Train Rides,Hill Country,Summer,Van,Low,Guesthouse,Budget Travelers
35.0,solo,1839.0,Beaches,Camping,Wildlife Safaris,Spring,Tuk-tuk,High,Motel,Budget Travelers
33.0,solo,2272.0,Hill Country,Train Rides,Local Food,Fall,Tuk-tuk,High,Camping,Budget Travelers
53.0,couples,2293.0,Local Food,Wildlife Safaris,Train Rides,Spring,Public-Bus,Low,Guesthouse,Budget Travelers
26.0,solo,1544.0,Train Rides,Hill Country,Waterfalls,Summer,Bike,High,Motel,Budget Travelers
28.0,solo,1957.0,Hill Country,Local Food,Train Rides,Summer,Bike,High,Guesthouse,Budget Travelers
36.0,solo,2128.0,Wildlife Safaris,Camping,Hill Country,Summer,Train,Medium,Camping,Budget Travelers
26.0,group,1878.0,Beaches,Local Food,Waterfalls,Summer,AC-Bus,High,Guesthouse,Budget Travelers
33.0,solo,2081.0,Wildlife Safaris,Train Rides,Beaches,Summer,Tuk-tuk,High,Camping,Budget Travelers
46.0,solo,1913.0,Local Food,Beaches,Camping,Summer,Bike,Medium,Camping,Budget Travelers
20.0,solo,1367.0,Camping,Hill Country,Local Food,Summer,Train,High,Camping,Budget Travelers
51.0,group,2438.0,Beaches,Waterfalls,Hill Country,Fall,Train,Low,Guesthouse,Budget Travelers
57.0,solo,2982.0,Train Rides,Local Food,Wildlife Safaris,Summer,Public-Bus,Low,Hostel,Budget Travelers
28.0,solo,1324.0,Beaches,Hill Country,Camping,Summer,Public-Bus,High,Guesthouse,Budget Travelers
19.0,solo,1650.0,Wildlife Safaris,Hill Country,Train Rides,Fall,Tuk-tuk,High,Guesthouse,Budget Travelers
48.0,solo,1866.0,Wildlife Safaris,Train Rides,Camping,Summer,Public-Bus,Medium,Camping,Budget Travelers
50.0,solo,2255.0,Camping,Hill Country,Local Food,Summer,Bike,Medium,Hostel,Budget Travelers
50.0,solo,2148.0,Waterfalls,Wildlife Safaris,Beaches,Summer,Tuk-tuk,Medium,Motel,Budget Travelers
57.0,solo,2240.0,Camping,Beaches,Wildlife Safaris,Fall,Train,Low,Hostel,Budget Travelers
43.0,couples,1577.0,Camping,Train Rides,Local Food,Fall,Car,Medium,Motel,Budget Travelers
19.0,group,1421.0,Hill Country,Wildlife Safaris,Local Food,Fall,Van,High,Guesthouse,Budget Travelers
21.0,solo,1793.0,Camping,Beaches,Train Rides,Fall,Tuk-tuk,High,Camping,Budget Travelers
31.0,solo,1776.0,Waterfalls,Wildlife Safaris,Train Rides,Fall,Bike,High,Hostel,Budget Travelers
25.0,solo,1755.0,Wildlife Safaris,Camping,Hill Country,Fall,Tuk-tuk,High,Motel,Budget Travelers
32.0,solo,2163.0,Train Rides,Beaches,Wildlife Safaris,Summer,Bike,High,Motel,Budget Travelers
49.0,solo,1934.0,Waterfalls,Hill Country,Camping,Fall,Train,Medium,Guesthouse,Budget Travelers
43.0,solo,1854.0,Beaches,Hill Country,Waterfalls,Fall,Train,Medium,Hostel,Budget Travelers
32.0,couples,1956.0,Hill Country,Waterfalls,Train Rides,Fall,Train,High,Guesthouse,Budget Travelers
57.0,group,2563.0,Local Food,Beaches,Hill Country,Fall,Train,Low,Camping,Budget Travelers
54.0,couples,2281.0,Waterfalls,Hill Country,Train Rides,Fall,Train,Low,Guesthouse,Budget Travelers
56.0,solo,2299.0,Camping,Wildlife Safaris,Hill Country,Fall,Train,Low,Camping,Budget Travelers
30.0,solo,1279.0,Local Food,Wildlife Safaris,Hill Country,Summer,Public-Bus,High,Hostel,Budget Travelers
41.0,solo,2258.0,Camping,Waterfalls,Train Rides,Fall,Tuk-tuk,Medium,Camping,Budget Travelers
43.0,solo,2153.0,Train Rides,Hill Country,Beaches,Summer,Tuk-tuk,Medium,Motel,Budget Travelers
27.0,group,1836.0,Camping,Wildlife Safaris,Train Rides,Fall,AC-Bus,High,Camping,Budget Travelers
18.0,solo,1991.0,Local Food,Train Rides,Beaches,Fall,Tuk-tuk,High,Hostel,Budget Travelers
52.0,solo,2865.0,Beaches,Hill Country,Camping,Fall,Public-Bus,Low,Motel,Budget Travelers
25.0,solo,1404.0,Hill Country,Wildlife Safaris,Train Rides,Summer,Public-Bus,High,Guesthouse,Budget Travelers
40.0,solo,2354.0,Wildlife Safaris,Hill Country,Local Food,Fall,Train,Medium,Guesthouse,Budget Travelers
42.0,solo,2320.0,Hill Country,Waterfalls,Train Rides,Fall,Train,Medium,Motel,Budget Travelers
29.0,couples,1491.0,Camping,Wildlife Safaris,Beaches,Summer,Public-Bus,High,Hostel,Budget Travelers
26.0,group,1689.0,Train Rides,Waterfalls,Beaches,Fall,AC-Bus,High,Hostel,Budget Travelers
22.0,solo,1607.0,Camping,Hill Country,Train Rides,Summer,Public-Bus,High,Hostel,Budget Travelers
37.0,solo,1534.0,Waterfalls,Wildlife Safaris,Local Food,Summer,Public-Bus,Medium,Camping,Budget Travelers
29.0,solo,1436.0,Beaches,Hill Country,Local Food,Fall,Bike,High,Camping,Budget Travelers
42.0,solo,2239.0,Local Food,Camping,Waterfalls,Summer,Train,Medium,Motel,Budget Travelers
36.0,solo,2364.0,Waterfalls,Wildlife Safaris,Local Food,Summer,Bike,Medium,Guesthouse,Budget Travelers
53.0,solo,2987.0,Hill Country,Wildlife Safaris,Local Food,Summer,Public-Bus,Low,Guesthouse,Budget Travelers
45.0,couples,2394.0,Wildlife Safaris,Hill Country,Train Rides,Fall,Car,Medium,Hostel,Budget Travelers
21.0,solo,1726.0,Hill Country,Camping,Local Food,Spring,Train,High,Hostel,Budget Travelers
41.0,couples,1616.0,Local Food,Waterfalls,Hill Country,Fall,Car,Medium,Motel,Budget Travelers
24.0,couples,1851.0,Camping,Wildlife Safaris,Train Rides,Summer,Public-Bus,High,Hostel,Budget Travelers
50.0,solo,1668.0,Beaches,Camping,Train Rides,Fall,Public-Bus,Medium,Motel,Budget Travelers
23.0,solo,1578.0,Waterfalls,Train Rides,Local Food,Spring,Tuk-tuk,High,Hostel,Budget Travelers
56.0,solo,2421.0,Hill Country,Beaches,Waterfalls,Summer,Tuk-tuk,Low,Motel,Budget Travelers
58.0,group,2351.0,Beaches,Waterfalls,Train Rides,Fall,Train,Low,Motel,Budget Travelers
54.0,solo,2484.0,Camping,Train Rides,Wildlife Safaris,Summer,Tuk-tuk,Low,Hostel,Budget Travelers
59.0,group,2784.0,Local Food,Camping,Train Rides,Summer,Van,Low,Guesthouse,Budget Travelers
53.0,solo,2404.0,Hill Country,Beaches,Wildlife Safaris,Summer,Public-Bus,Low,Guesthouse,Budget Travelers
50.0,solo,1758.0,Hill Country,Wildlife Safaris,Beaches,Summer,Bike,Medium,Guesthouse,Budget Travelers
49.0,couples,1898.0,Camping,Train Rides,Local Food,Fall,Public-Bus,Medium,Guesthouse,Budget Travelers
34.0,group,2075.0,Hill Country,Wildlife Safaris,Train Rides,Winter,AC-Bus,High,Motel,Budget Travelers
47.0,solo,1854.0,Waterfalls,Wildlife Safaris,Camping,Summer,Train,Medium,Hostel,Budget Travelers
50.0,solo,1968.0,Beaches,Wildlife Safaris,Local Food,Fall,Bike,Medium,Motel,Budget Travelers
44.0,solo,2386.0,Local Food,Hill Country,Waterfalls,Fall,Tuk-tuk,Medium,Motel,Budget Travelers
20.0,group,1949.0,Wildlife Safaris,Beaches,Camping,Spring,Public-Bus,High,Motel,Budget Travelers
38.0,solo,1824.0,Local Food,Train Rides,Camping,Summer,Bike,Medium,Camping,Budget Travelers
50.0,solo,2461.0,Camping,Beaches,Wildlife Safaris,Summer,Train,Medium,Camping,Budget Travelers
19.0,solo,1941.0,Camping,Beaches,Wildlife Safaris,Summer,Train,High,Hostel,Budget Travelers
37.0,solo,1867.0,Camping,Hill Country,Wildlife Safaris,Summer,Public-Bus,Medium,Camping,Budget Travelers
50.0,solo,1573.0,Hill Country,Beaches,Train Rides,Summer,Tuk-tuk,Medium,Hostel,Budget Travelers
35.0,couples,2139.0,Train Rides,Beaches,Hill Country,Summer,Car,High,Motel,Budget Travelers
34.0,solo,2248.0,Beaches,Camping,Wildlife Safaris,Fall,Tuk-tuk,High,Guesthouse,Budget Travelers
44.0,solo,1874.0,Waterfalls,Local Food,Train Rides,Summer,Bike,Medium,Hostel,Budget Travelers
40.0,solo,1598.0,Local Food,Waterfalls,Camping,Summer,Tuk-tuk,Medium,Motel,Budget Travelers
52.0,solo,2845.0,Camping,Train Rides,Beaches,Summer,Tuk-tuk,Low,Hostel,Budget Travelers
39.0,solo,2000.0,Train Rides,Waterfalls,Beaches,Winter,Bike,Medium,Motel,Budget Travelers
34.0,solo,2229.0,Local Food,Train Rides,Beaches,Summer,Train,High,Camping,Budget Travelers
36.0,group,1941.0,Local Food,Beaches,Train Rides,Fall,Van,Medium,Guesthouse,Budget Travelers
20.0,couples,1300.0,Waterfalls,Camping,Beaches,Fall,Bike,High,Motel,Budget Travelers
59.0,couples,2755.0,Waterfalls,Local Food,Camping,Fall,Bike,Low,Motel,Budget Travelers
39.0,solo,1863.0,Local Food,Beaches,Train Rides,Winter,Train,Medium,Guesthouse,Budget Travelers
59.0,solo,2344.0,Camping,Local Food,Beaches,Fall,Tuk-tuk,Low,Motel,Budget Travelers
43.0,solo,1810.0,Local Food,Beaches,Hill Country,Fall,Tuk-tuk,Medium,Camping,Budget Travelers
35.0,couples,1597.0,Waterfalls,Hill Country,Local Food,Fall,PickMe,High,Hostel,Budget Travelers
40.0,solo,2197.0,Local Food,Train Rides,Waterfalls,Summer,Train,Medium,Motel,Budget Travelers
37.0,group,1566.0,Beaches,Train Rides,Waterfalls,Summer,Train,Medium,Motel,Budget Travelers
41.0,group,1753.0,Waterfalls,Wildlife Safaris,Beaches,Summer,AC-Bus,Medium,Camping,Budget Travelers
31.0,couples,2335.0,Camping,Train Rides,Waterfalls,Summer,Uber,High,Guesthouse,Budget Travelers
28.0,solo,1828.0,Waterfalls,Camping,Local Food,Fall,Public-Bus,High,Motel,Budget Travelers
35.0,couples,2221.0,Hill Country,Wildlife Safaris,Beaches,Winter,Bike,High,Motel,Budget Travelers
19.0,solo,1565.0,Local Food,Hill Country,Waterfalls,Fall,Public-Bus,High,Camping,Budget Travelers
36.0,couples,2066.0,Train Rides,Waterfalls,Hill Country,Summer,Car,Medium,Guesthouse,Budget Travelers
44.0,solo,2247.0,Hill Country,Beaches,Waterfalls,Fall,Public-Bus,Medium,Camping,Budget Travelers
49.0,solo,1964.0,Camping,Wildlife Safaris,Local Food,Summer,Train,Medium,Hostel,Budget Travelers
45.0,solo,1909.0,Waterfalls,Beaches,Wildlife Safaris,Fall,Public-Bus,Medium,Camping,Budget Travelers
19.0,solo,1517.0,Train Rides,Hill Country,Wildlife Safaris,Summer,Train,High,Camping,Budget Travelers
31.0,couples,2178.0,Train Rides,Hill Country,Local Food,Summer,Uber,High,Hostel,Budget Travelers
19.0,solo,1221.0,Waterfalls,Local Food,Hill Country,Fall,Bike,High,Guesthouse,Budget Travelers
37.0,solo,2409.0,Beaches,Local Food,Waterfalls,Summer,Train,Medium,Motel,Budget Travelers
59.0,group,2725.0,Hill Country,Train Rides,Camping,Fall,Public-Bus,Low,Motel,Budget Travelers
18.0,solo,1820.0,Wildlife Safaris,Train Rides,Beaches,Fall,Public-Bus,High,Camping,Budget Travelers
21.0,solo,1505.0,Wildlife Safaris,Train Rides,Local Food,Summer,Tuk-tuk,High,Camping,Budget Travelers
33.0,solo,1567.0,Beaches,Train Rides,Local Food,Fall,Bike,High,Guesthouse,Budget Travelers
59.0,group,2854.0,Beaches,Local Food,Waterfalls,Fall,Train,Low,Camping,Budget Travelers
32.0,solo,2034.0,Beaches,Wildlife Safaris,Local Food,Summer,Bike,High,Hostel,Budget Travelers
30.0,couples,1655.0,Beaches,Waterfalls,Camping,Fall,Train,High,Hostel,Budget Travelers
41.0,group,2264.0,Waterfalls,Local Food,Hill Country,Summer,Van,Medium,Hostel,Budget Travelers
19.0,couples,1933.0,Local Food,Beaches,Wildlife Safaris,Fall,Train,High,Motel,Budget Travelers
42.0,solo,1587.0,Beaches,Local Food,Waterfalls,Fall,Public-Bus,Medium,Guesthouse,Budget Travelers
59.0,couples,2884.0,Camping,Local Food,Beaches,Fall,PickMe,Low,Motel,Budget Travelers
59.0,couples,2553.0,Beaches,Hill Country,Train Rides,Summer,Train,Low,Hostel,Budget Travelers
57.0,group,2549.0,Beaches,Waterfalls,Local Food,Summer,AC-Bus,Low,Camping,Budget Travelers
21.0,couples,1855.0,Waterfalls,Beaches,Local Food,Summer,Car,High,Hostel,Budget Travelers
32.0,couples,2290.0,Camping,Wildlife Safaris,Hill Country,Fall,Car,High,Guesthouse,Budget Travelers
53.0,solo,2770.0,Wildlife Safaris,Beaches,Train Rides,Fall,Bike,Low,Hostel,Budget Travelers
20.0,couples,1739.0,Beaches,Local Food,Wildlife Safaris,Summer,Bike,High,Motel,Budget Travelers
31.0,couples,2127.0,Beaches,Wildlife Safaris,Train Rides,Summer,Public-Bus,High,Hostel,Budget Travelers
22.0,solo,1321.0,Train Rides,Beaches,Hill Country,Summer,Train,High,Guesthouse,Budget Travelers
31.0,solo,2494.0,Hill Country,Camping,Train Rides,Winter,Bike,High,Motel,Budget Travelers
31.0,solo,1964.0,Camping,Train Rides,Beaches,Fall,Train,High,Motel,Budget Travelers
37.0,solo,1503.0,Wildlife Safaris,Hill Country,Local Food,Spring,Bike,Medium,Camping,Budget Travelers
42.0,solo,1622.0,Local Food,Train Rides,Hill Country,Summer,Public-Bus,Medium,Hostel,Budget Travelers
39.0,couples,2004.0,Train Rides,Waterfalls,Wildlife Safaris,Summer,Bike,Medium,Motel,Budget Travelers
40.0,group,1786.0,Camping,Beaches,Wildlife Safaris,Fall,AC-Bus,Medium,Motel,Budget Travelers
40.0,group,2006.0,Local Food,Train Rides,Beaches,Summer,AC-Bus,Medium,Motel,Budget Travelers
33.0,solo,1502.0,Hill Country,Train Rides,Waterfalls,Fall,Train,High,Motel,Budget Travelers
37.0,solo,2135.0,Wildlife Safaris,Beaches,Hill Country,Fall,Public-Bus,Medium,Camping,Budget Travelers
39.0,solo,2258.0,Beaches,Camping,Hill Country,Fall,Public-Bus,Medium,Hostel,Budget Travelers
48.0,solo,2294.0,Local Food,Hill Country,Train Rides,Fall,Public-Bus,Medium,Guesthouse,Budget Travelers
38.0,solo,2064.0,Hill Country,Wildlife Safaris,Beaches,Fall,Train,Medium,Motel,Budget Travelers
54.0,solo,2818.0,Waterfalls,Hill Country,Camping,Summer,Train,Low,Hostel,Budget Travelers
46.0,group,1977.0,Hill Country,Local Food,Train Rides,Summer,AC-Bus,Medium,Camping,Budget Travelers
49.0,solo,2174.0,Train Rides,Hill Country,Waterfalls,Fall,Train,Medium,Guesthouse,Budget Travelers
35.0,solo,1979.0,Camping,Waterfalls,Train Rides,Fall,Train,High,Guesthouse,Budget Travelers
46.0,solo,2370.0,Beaches,Local Food,Wildlife Safaris,Fall,Train,Medium,Guesthouse,Budget Travelers
40.0,solo,2239.0,Hill Country,Beaches,Waterfalls,Summer,Tuk-tuk,Medium,Motel,Budget Travelers
59.0,couples,2502.0,Beaches,Camping,Wildlife Safaris,Summer,Public-Bus,Low,Guesthouse,Budget Travelers
26.0,couples,1680.0,Train Rides,Camping,Beaches,Fall,PickMe,High,Guesthouse,Budget Travelers
46.0,solo,1793.0,Beaches,Camping,Wildlife Safaris,Spring,Public-Bus,Medium,Motel,Budget Travelers
57.0,group,2780.0,Train Rides,Camping,Wildlife Safaris,Summer,Public-Bus,Low,Guesthouse,Budget Travelers
20.0,solo,1569.0,Camping,Wildlife Safaris,Hill Country,Fall,Train,High,Guesthouse,Budget Travelers
23.0,solo,1582.0,Wildlife Safaris,Train Rides,Camping,Fall,Tuk-tuk,High,Guesthouse,Budget Travelers
34.0,couples,1697.0,Wildlife Safaris,Local Food,Camping,Summer,Car,High,Guesthouse,Budget Travelers
36.0,solo,2201.0,Train Rides,Local Food,Waterfalls,Summer,Bike,Medium,Guesthouse,Budget Travelers
58.0,solo,2680.0,Wildlife Safaris,Local Food,Beaches,Fall,Bike,Low,Hostel,Budget Travelers
44.0,group,2065.0,Camping,Beaches,Train Rides,Summer,Public-Bus,Medium,Guesthouse,Budget Travelers
40.0,solo,1902.0,Wildlife Safaris,Train Rides,Camping,Summer,Bike,Medium,Motel,Budget Travelers
36.0,solo,1658.0,Camping,Local Food,Hill Country,Summer,Train,Medium,Hostel,Budget Travelers
24.0,solo,1641.0,Local Food,Wildlife Safaris,Waterfalls,Summer,Tuk-tuk,High,Motel,Budget Travelers
59.0,group,2643.0,Camping,Local Food,Hill Country,Summer,AC-Bus,Low,Motel,Budget Travelers
18.0,solo,1308.0,Hill Country,Beaches,Camping,Summer,Train,High,Motel,Budget Travelers
35.0,couples,2107.0,Camping,Beaches,Hill Country,Summer,Bike,High,Motel,Budget Travelers
29.0,solo,1314.0,Local Food,Hill Country,Train Rides,Summer,Tuk-tuk,High,Hostel,Budget Travelers
30.0,solo,1526.0,Camping,Hill Country,Local Food,Fall,Bike,High,Motel,Budget Travelers
47.0,couples,2262.0,Hill Country,Beaches,Waterfalls,Summer,Public-Bus,Medium,Motel,Budget Travelers
55.0,solo,2790.0,Waterfalls,Train Rides,Wildlife Safaris,Summer,Tuk-tuk,Low,Motel,Budget Travelers
45.0,couples,1685.0,Wildlife Safaris,Beaches,Camping,Summer,PickMe,Medium,Guesthouse,Budget Travelers
45.0,group,1903.0,Hill Country,Beaches,Camping,Summer,Van,Medium,Motel,Budget Travelers
51.0,couples,2186.0,Hill Country,Beaches,Waterfalls,Fall,Bike,Low,Guesthouse,Budget Travelers
20.0,group,1763.0,Beaches,Camping,Hill Country,Summer,Public-Bus,High,Guesthouse,Budget Travelers
46.0,solo,1983.0,Wildlife Safaris,Waterfalls,Train Rides,Spring,Tuk-tuk,Medium,Motel,Budget Travelers
48.0,solo,1826.0,Hill Country,Beaches,Wildlife Safaris,Fall,Public-Bus,Medium,Camping,Budget Travelers
35.0,solo,1722.0,Beaches,Camping,Waterfalls,Fall,Public-Bus,High,Motel,Budget Travelers
24.0,group,1896.0,Wildlife Safaris,Local Food,Hill Country,Summer,Train,High,Camping,Budget Travelers
43.0,couples,1920.0,Local Food,Beaches,Wildlife Safaris,Fall,PickMe,Medium,Guesthouse,Budget Travelers
50.0,solo,2027.0,Wildlife Safaris,Local Food,Waterfalls,Summer,Train,Medium,Motel,Budget Travelers
37.0,group,2149.0,Local Food,Waterfalls,Camping,Fall,AC-Bus,Medium,Hostel,Budget Travelers
46.0,group,1660.0,Camping,Hill Country,Train Rides,Fall,Public-Bus,Medium,Guesthouse,Budget Travelers
49.0,couples,2164.0,Wildlife Safaris,Beaches,Hill Country,Winter,Uber,Medium,Hostel,Budget Travelers
18.0,solo,1639.0,Hill Country,Beaches,Local Food,Summer,Tuk-tuk,High,Camping,Budget Travelers
53.0,group,2324.0,Wildlife Safaris,Beaches,Train Rides,Fall,Van,Low,Motel,Budget Travelers
45.0,couples,1783.0,Local Food,Waterfalls,Wildlife Safaris,Summer,Uber,Medium,Motel,Budget Travelers
54.0,group,2153.0,Wildlife Safaris,Train Rides,Hill Country,Summer,Train,Low,Hostel,Budget Travelers
26.0,solo,1277.0,Hill Country,Train Rides,Camping,Fall,Train,High,Motel,Budget Travelers
